id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_187,0018,8.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_188,0018,8.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_189,0018,10.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_190,0018,10.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_191,0018,10.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_192,0018,10.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_193,2412,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_194,2412,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_195,2412,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_196,2412,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_197,2412,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_198,2412,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_199,2412,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_200,2412,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_201,2412,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_202,2412,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_203,2412,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_204,2412,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_205,2412,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_206,2412,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_207,2412,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_208,2412,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_209,2412,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_210,2412,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_211,2412,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
