AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
6.0,0.018909594044089317,-1.0846543312072754,0.0322074368596077,-1.3091644048690796,100000.0,0.09999999999999999,case_213,12.252116203308105,98881.171875,18.435510635375977,99018.4765625,fno,2412,12.263914108276367,101181.3125,18.443204879760742,101318.4765625
6.0,0.013849284499883652,-1.1571983098983765,0.025001121684908867,-1.2995898723602295,200000.0,0.19999999999999998,case_214,11.683018684387207,98870.640625,17.475162506103516,98999.0859375,fno,2412,11.691078186035156,101170.7890625,17.4788761138916,101299.0859375
6.0,0.012372327037155628,-1.3815938234329224,0.022399630397558212,-1.3123584985733032,500000.0,0.5,case_215,3.9470691680908203,98834.0703125,5.514097690582275,98861.4453125,fno,2412,3.9398200511932373,101134.2421875,5.503490447998047,101161.4453125
6.0,0.035113703459501266,-1.825852870941162,0.05882401764392853,-1.3165777921676636,1000000.0,1.0,case_216,31.309856414794922,98721.125,48.94343948364258,98368.6875,fno,2412,31.325563430786133,101020.84375,48.96437072753906,100668.6875
8.0,0.019025206565856934,-1.434191346168518,0.031690407544374466,-1.8920437097549438,100000.0,0.09999999999999999,case_217,17.79962730407715,98822.8203125,26.47431182861328,99015.5703125,fno,2412,17.794565200805664,101123.0,26.463865280151367,101315.5703125
8.0,0.016540076583623886,-1.523789882659912,0.027887528762221336,-1.9165809154510498,200000.0,0.19999999999999998,case_218,17.178382873535156,98806.03125,25.46099853515625,98986.78125,fno,2412,17.170129776000977,101106.2109375,25.447275161743164,101286.78125
8.0,0.016481969505548477,-1.8037710189819336,0.028328627347946167,-1.8451378345489502,500000.0,0.5,case_219,8.52879810333252,98729.5078125,11.98949909210205,98795.046875,fno,2412,8.510478019714355,101029.28125,11.96567440032959,101095.046875
8.0,0.030494200065732002,-2.0124106407165527,0.04949338734149933,-1.8507441282272339,1000000.0,1.0,case_220,24.942235946655273,98451.71875,38.5327262878418,98102.40625,fno,2412,24.964420318603516,100750.3984375,38.55973434448242,100402.40625
10.0,0.01887163519859314,-1.864259123802185,0.031413331627845764,-2.4215447902679443,100000.0,0.09999999999999999,case_221,25.636051177978516,98701.046875,37.898475646972656,99012.9296875,fno,2412,25.618730545043945,101000.671875,37.87443923950195,101312.9296875
10.0,0.017329156398773193,-1.9132972955703735,0.028514258563518524,-2.337625026702881,200000.0,0.19999999999999998,case_222,25.685239791870117,98655.265625,37.915321350097656,98978.390625,fno,2412,25.665742874145508,100954.7890625,37.8878059387207,101278.390625
10.0,0.021176012232899666,-2.001749277114868,0.032632555812597275,-2.3314177989959717,500000.0,0.5,case_223,22.77693748474121,98472.3828125,34.3404541015625,98734.4453125,fno,2412,22.756574630737305,100771.171875,34.311336517333984,101034.4453125
10.0,0.03772525116801262,-2.1956188678741455,0.05324458330869675,-2.3383820056915283,1000000.0,1.0,case_224,9.519371032714844,98037.4921875,14.797471046447754,97859.3203125,fno,2412,9.526867866516113,100333.6796875,14.795585632324219,100159.3203125
