naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
2412,500000.0,case_195,-4.0,case_215,6.0,0.0,True
2412,500000.0,case_195,-4.0,case_219,8.0,0.0,True
2412,500000.0,case_195,-4.0,case_223,10.0,0.0,True
2412,1000000.0,case_196,-4.0,case_200,-2.0,0.0,True
2412,1000000.0,case_196,-4.0,case_204,0.0,0.0,True
2412,1000000.0,case_196,-4.0,case_208,2.0,0.0,True
2412,1000000.0,case_196,-4.0,case_212,4.0,0.0,True
2412,1000000.0,case_196,-4.0,case_216,6.0,0.0,True
2412,1000000.0,case_196,-4.0,case_220,8.0,0.0,True
2412,1000000.0,case_196,-4.0,case_224,10.0,0.0,True
2415,100000.0,case_225,-4.0,case_229,-2.0,0.0,True
2415,100000.0,case_225,-4.0,case_233,0.0,0.0,True
2415,100000.0,case_225,-4.0,case_237,2.0,0.0,True
2415,100000.0,case_225,-4.0,case_241,4.0,0.0,True
2415,100000.0,case_225,-4.0,case_245,6.0,0.0,True
2415,100000.0,case_225,-4.0,case_249,8.0,0.0,True
2415,100000.0,case_225,-4.0,case_253,10.0,0.0,True
2415,200000.0,case_226,-4.0,case_230,-2.0,0.0,True
2415,200000.0,case_226,-4.0,case_234,0.0,0.0,True
2415,200000.0,case_226,-4.0,case_238,2.0,0.0,True
2415,200000.0,case_226,-4.0,case_242,4.0,0.0,True
2415,200000.0,case_226,-4.0,case_246,6.0,0.0,True
2415,200000.0,case_226,-4.0,case_250,8.0,0.0,True
2415,200000.0,case_226,-4.0,case_254,10.0,0.0,True
2415,500000.0,case_227,-4.0,case_231,-2.0,0.0,True
2415,500000.0,case_227,-4.0,case_235,0.0,0.0,True
2415,500000.0,case_227,-4.0,case_239,2.0,0.0,True
2415,500000.0,case_227,-4.0,case_243,4.0,0.0,True
2415,500000.0,case_227,-4.0,case_247,6.0,0.0,True
2415,500000.0,case_227,-4.0,case_251,8.0,0.0,True
2415,500000.0,case_227,-4.0,case_255,10.0,0.0,True
2415,1000000.0,case_228,-4.0,case_232,-2.0,0.0,True
2415,1000000.0,case_228,-4.0,case_236,0.0,0.0,True
2415,1000000.0,case_228,-4.0,case_240,2.0,0.0,True
2415,1000000.0,case_228,-4.0,case_244,4.0,0.0,True
2415,1000000.0,case_228,-4.0,case_248,6.0,0.0,True
2415,1000000.0,case_228,-4.0,case_252,8.0,0.0,True
2415,1000000.0,case_228,-4.0,case_256,10.0,0.0,True
4412,100000.0,case_257,-4.0,case_261,-2.0,0.0,True
4412,100000.0,case_257,-4.0,case_265,0.0,0.0,True
4412,100000.0,case_257,-4.0,case_269,2.0,0.0,True
4412,100000.0,case_257,-4.0,case_273,4.0,0.0,True
4412,100000.0,case_257,-4.0,case_277,6.0,0.0,True
4412,100000.0,case_257,-4.0,case_281,8.0,0.0,True
4412,100000.0,case_257,-4.0,case_285,10.0,0.0,True
4412,200000.0,case_258,-4.0,case_262,-2.0,0.0,True
4412,200000.0,case_258,-4.0,case_266,0.0,0.0,True
4412,200000.0,case_258,-4.0,case_270,2.0,0.0,True
4412,200000.0,case_258,-4.0,case_274,4.0,0.0,True
4412,200000.0,case_258,-4.0,case_278,6.0,0.0,True
4412,200000.0,case_258,-4.0,case_282,8.0,0.0,True
4412,200000.0,case_258,-4.0,case_286,10.0,0.0,True
4412,500000.0,case_259,-4.0,case_263,-2.0,0.0,True
4412,500000.0,case_259,-4.0,case_267,0.0,0.0,True
4412,500000.0,case_259,-4.0,case_271,2.0,0.0,True
4412,500000.0,case_259,-4.0,case_275,4.0,0.0,True
4412,500000.0,case_259,-4.0,case_279,6.0,0.0,True
4412,500000.0,case_259,-4.0,case_283,8.0,0.0,True
4412,500000.0,case_259,-4.0,case_287,10.0,0.0,True
4412,1000000.0,case_260,-4.0,case_264,-2.0,0.0,True
4412,1000000.0,case_260,-4.0,case_268,0.0,0.0,True
4412,1000000.0,case_260,-4.0,case_272,2.0,0.0,True
4412,1000000.0,case_260,-4.0,case_276,4.0,0.0,True
4412,1000000.0,case_260,-4.0,case_280,6.0,0.0,True
4412,1000000.0,case_260,-4.0,case_284,8.0,0.0,True
4412,1000000.0,case_260,-4.0,case_288,10.0,0.0,True
4415,100000.0,case_289,-4.0,case_293,-2.0,0.0,True
4415,100000.0,case_289,-4.0,case_297,0.0,0.0,True
4415,100000.0,case_289,-4.0,case_301,2.0,0.0,True
4415,100000.0,case_289,-4.0,case_305,4.0,0.0,True
4415,100000.0,case_289,-4.0,case_309,6.0,0.0,True
4415,100000.0,case_289,-4.0,case_313,8.0,0.0,True
4415,100000.0,case_289,-4.0,case_317,10.0,0.0,True
4415,200000.0,case_290,-4.0,case_294,-2.0,0.0,True
4415,200000.0,case_290,-4.0,case_298,0.0,0.0,True
4415,200000.0,case_290,-4.0,case_302,2.0,0.0,True
4415,200000.0,case_290,-4.0,case_306,4.0,0.0,True
4415,200000.0,case_290,-4.0,case_310,6.0,0.0,True
4415,200000.0,case_290,-4.0,case_314,8.0,0.0,True
4415,200000.0,case_290,-4.0,case_318,10.0,0.0,True
4415,500000.0,case_291,-4.0,case_295,-2.0,0.0,True
4415,500000.0,case_291,-4.0,case_299,0.0,0.0,True
4415,500000.0,case_291,-4.0,case_303,2.0,0.0,True
4415,500000.0,case_291,-4.0,case_307,4.0,0.0,True
4415,500000.0,case_291,-4.0,case_311,6.0,0.0,True
