AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_indicator_mae,cavitation_indicator_pred_min,cavitation_indicator_rmse,cavitation_indicator_truth_min,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
8.0,0.015330944210290909,-0.3329616189002991,0.021590596064925194,-0.29554709792137146,500000.0,0.5,case_059,1.321985076963017e-09,2.5979485229754573e-10,1.4818763993673656e-09,0.0,1.7536503076553345,98996.3828125,2.606975793838501,98988.1640625,pinn,0008,1.765869379043579,101296.2578125,2.6467063426971436,101288.1640625
10.0,0.015677016228437424,-0.2777882516384125,0.020367862656712532,-0.2933560013771057,200000.0,0.19999999999999998,case_062,2.8468398749481594e-09,1.0260632343772613e-09,2.9399471745961137e-09,0.0,0.47715654969215393,99014.015625,0.7212936282157898,99019.1484375,pinn,0008,0.4754449129104614,101313.6640625,0.7312091588973999,101319.1484375
10.0,0.016634954139590263,-0.2910785377025604,0.023562384769320488,-0.2962748110294342,1000000.0,1.0,case_064,3.808752424561135e-09,3.724526242976367e-11,2.15364323707945e-07,0.0,8.389042854309082,98886.4296875,11.947237014770508,98877.3046875,pinn,0008,8.39201831817627,101188.484375,11.930143356323242,101177.3046875
-2.0,0.01631638966500759,-0.3098938763141632,0.02148856408894062,-0.35309284925460815,200000.0,0.19999999999999998,case_070,2.8485991343529804e-09,9.139652368261864e-10,2.9504625409515484e-09,0.0,0.5393404364585876,99011.671875,0.7843170166015625,99017.9609375,pinn,0010,0.537310779094696,101310.8984375,0.796721339225769,101317.9609375
8.0,0.01530545111745596,-0.33540967106819153,0.02008143626153469,-0.3512571156024933,100000.0,0.09999999999999999,case_089,3.3969931312327617e-09,1.2719658659676725e-09,3.494984524010647e-09,0.0,0.5575683116912842,99020.46875,0.7136518955230713,99023.25,pinn,0010,0.5506224632263184,101320.5546875,0.7176036238670349,101323.25
-4.0,0.017397744581103325,-0.435944139957428,0.021946147084236145,-0.4368973970413208,1000000.0,1.0,case_100,1.3774534401989058e-08,1.2444449637438737e-10,7.819762117833307e-07,0.0,8.436552047729492,98756.84375,10.782608032226562,98807.203125,pinn,0012,8.431270599365234,101060.25,10.772478103637695,101107.203125
-2.0,0.01727740652859211,-0.44661128520965576,0.022646425291895866,-0.43041038513183594,100000.0,0.09999999999999999,case_101,3.410204785225801e-09,1.1597584004263695e-09,3.548650262530373e-09,0.0,0.6201261878013611,99013.96875,0.8170086741447449,99022.8515625,pinn,0012,0.6129435300827026,101314.875,0.8132743239402771,101322.8515625
-2.0,0.01816699653863907,-0.4485459625720978,0.023852327838540077,-0.43347975611686707,200000.0,0.19999999999999998,case_102,2.8557753939395525e-09,8.732785605758409e-10,2.982250002503406e-09,0.0,0.6131182312965393,99011.1171875,0.8568620681762695,99016.359375,pinn,0012,0.6099398136138916,101311.59375,0.8614093065261841,101316.359375
6.0,0.01829889789223671,-0.4338722825050354,0.024294830858707428,-0.43604427576065063,500000.0,0.5,case_119,1.3163379275482612e-09,2.2581959913114957e-10,1.4675969328692418e-09,0.0,2.2332308292388916,98970.6875,3.056074380874634,98970.65625,pinn,0012,2.2327144145965576,101270.359375,3.0610508918762207,101270.65625
10.0,0.018099039793014526,-0.4656279385089874,0.023831957951188087,-0.43347975611686707,200000.0,0.19999999999999998,case_126,2.831656020774176e-09,9.415398460888014e-10,2.9449711558271474e-09,0.0,0.5945846438407898,99011.1015625,0.8283073902130127,99016.359375,pinn,0012,0.5908142328262329,101311.6875,0.8320024609565735,101316.359375
10.0,0.018482539802789688,-0.41987553238868713,0.024601494893431664,-0.43604427576065063,500000.0,0.5,case_127,1.312872921488406e-09,2.2773358199223992e-10,1.4518429791721132e-09,0.0,2.257875680923462,98971.703125,3.095984935760498,98970.65625,pinn,0012,2.256586790084839,101271.46875,3.1000328063964844,101270.65625
10.0,0.01823383942246437,-0.47501006722450256,0.023707173764705658,-0.4368973970413208,1000000.0,1.0,case_128,8.853963784360985e-09,1.2303971730354135e-10,4.827394377571181e-07,0.0,8.719249725341797,98790.75,11.599642753601074,98807.203125,pinn,0012,8.716228485107422,101092.1796875,11.592153549194336,101107.203125
