naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
4412,200000.0,case_258,-4.0,case_286,10.0,68.16631199566473,False
4412,500000.0,case_259,-4.0,case_263,-2.0,51.10364002168353,False
4412,500000.0,case_259,-4.0,case_267,0.0,96.23232532729162,False
4412,500000.0,case_259,-4.0,case_271,2.0,137.47866808410618,False
4412,500000.0,case_259,-4.0,case_275,4.0,194.4700774713274,False
4412,500000.0,case_259,-4.0,case_279,6.0,266.42758138026693,False
4412,500000.0,case_259,-4.0,case_283,8.0,341.48693567188457,False
4412,500000.0,case_259,-4.0,case_287,10.0,412.6894960017671,False
4412,1000000.0,case_260,-4.0,case_264,-2.0,204.76484157910454,False
4412,1000000.0,case_260,-4.0,case_268,0.0,385.5363057795039,False
4412,1000000.0,case_260,-4.0,case_272,2.0,550.8383132391318,False
4412,1000000.0,case_260,-4.0,case_276,4.0,779.8253612784465,False
4412,1000000.0,case_260,-4.0,case_280,6.0,1068.4987033866928,False
4412,1000000.0,case_260,-4.0,case_284,8.0,1369.7407526268362,False
4412,1000000.0,case_260,-4.0,case_288,10.0,1655.5497145408444,False
4415,100000.0,case_289,-4.0,case_293,-2.0,2.3528703207412036,False
4415,100000.0,case_289,-4.0,case_297,0.0,4.628942111026845,False
4415,100000.0,case_289,-4.0,case_301,2.0,6.442454830365023,False
4415,100000.0,case_289,-4.0,case_305,4.0,7.855789668887155,False
4415,100000.0,case_289,-4.0,case_309,6.0,9.632745957133011,False
4415,100000.0,case_289,-4.0,case_313,8.0,12.571221387785044,False
4415,100000.0,case_289,-4.0,case_317,10.0,15.087632847949862,False
4415,200000.0,case_290,-4.0,case_294,-2.0,9.443201707748813,False
4415,200000.0,case_290,-4.0,case_298,0.0,18.526748291260446,False
4415,200000.0,case_290,-4.0,case_302,2.0,25.82960200558591,False
4415,200000.0,case_290,-4.0,case_306,4.0,31.495228320010938,False
4415,200000.0,case_290,-4.0,case_310,6.0,38.97741960140411,False
4415,200000.0,case_290,-4.0,case_314,8.0,49.040889520634664,False
4415,200000.0,case_290,-4.0,case_318,10.0,61.2726536605478,False
4415,500000.0,case_291,-4.0,case_295,-2.0,61.01638337883924,False
4415,500000.0,case_291,-4.0,case_299,0.0,116.45640187973913,False
4415,500000.0,case_291,-4.0,case_303,2.0,162.27706316650438,False
4415,500000.0,case_291,-4.0,case_307,4.0,197.72210236793035,False
4415,500000.0,case_291,-4.0,case_311,6.0,237.53866563460906,False
4415,500000.0,case_291,-4.0,case_315,8.0,309.23906952848483,False
4415,500000.0,case_291,-4.0,case_319,10.0,381.3051928894565,False
4415,1000000.0,case_292,-4.0,case_296,-2.0,244.57153694359295,False
4415,1000000.0,case_292,-4.0,case_300,0.0,466.71393655758584,False
4415,1000000.0,case_292,-4.0,case_304,2.0,650.2349329367571,False
4415,1000000.0,case_292,-4.0,case_308,4.0,792.0601097995823,False
4415,1000000.0,case_292,-4.0,case_312,6.0,952.9808517542988,False
4415,1000000.0,case_292,-4.0,case_316,8.0,1240.7050140034262,False
4415,1000000.0,case_292,-4.0,case_320,10.0,1529.8835527136398,False
4418,100000.0,case_321,-4.0,case_325,-2.0,2.2773993122245884,False
4418,100000.0,case_321,-4.0,case_329,0.0,4.227639153774362,False
4418,100000.0,case_321,-4.0,case_333,2.0,5.9855924768635305,False
4418,100000.0,case_321,-4.0,case_337,4.0,7.289818284203648,False
4418,100000.0,case_321,-4.0,case_341,6.0,8.135413023381261,False
4418,100000.0,case_321,-4.0,case_345,8.0,10.437776498132735,False
4418,100000.0,case_321,-4.0,case_349,10.0,12.846790703522856,False
4418,200000.0,case_322,-4.0,case_326,-2.0,9.143868158600526,False
4418,200000.0,case_322,-4.0,case_330,0.0,16.98555315642443,False
4418,200000.0,case_322,-4.0,case_334,2.0,24.01178335135046,False
4418,200000.0,case_322,-4.0,case_338,4.0,29.225422056697425,False
4418,200000.0,case_322,-4.0,case_342,6.0,32.86114640918095,False
4418,200000.0,case_322,-4.0,case_346,8.0,40.56952929290128,False
4418,200000.0,case_322,-4.0,case_350,10.0,49.74741584873118,False
4418,500000.0,case_323,-4.0,case_327,-2.0,57.558418527580216,False
4418,500000.0,case_323,-4.0,case_331,0.0,106.82641453320684,False
4418,500000.0,case_323,-4.0,case_335,2.0,150.99252728189458,False
4418,500000.0,case_323,-4.0,case_339,4.0,183.6195067701192,False
4418,500000.0,case_323,-4.0,case_343,6.0,205.68662697325635,False
4418,500000.0,case_323,-4.0,case_347,8.0,255.78601386329683,False
4418,500000.0,case_323,-4.0,case_351,10.0,313.7184508681821,False
4418,1000000.0,case_324,-4.0,case_328,-2.0,230.77893580192176,False
4418,1000000.0,case_324,-4.0,case_332,0.0,434.74389028576843,False
4418,1000000.0,case_324,-4.0,case_336,2.0,605.1948362979601,False
4418,1000000.0,case_324,-4.0,case_340,4.0,735.7578070143209,False
4418,1000000.0,case_324,-4.0,case_344,6.0,827.371665621351,False
4418,1000000.0,case_324,-4.0,case_348,8.0,1026.1376805540058,False
4418,1000000.0,case_324,-4.0,case_352,10.0,1258.71501153383,False
4421,100000.0,case_353,-4.0,case_357,-2.0,2.3454918784700567,False
4421,100000.0,case_353,-4.0,case_361,0.0,4.3914314925496,False
4421,100000.0,case_353,-4.0,case_365,2.0,6.109055841734516,False
4421,100000.0,case_353,-4.0,case_369,4.0,7.417041065447847,False
4421,100000.0,case_353,-4.0,case_373,6.0,9.078825639531715,False
4421,100000.0,case_353,-4.0,case_377,8.0,11.648276321036974,False
4421,100000.0,case_353,-4.0,case_381,10.0,14.33680386703054,False
4421,200000.0,case_354,-4.0,case_358,-2.0,9.591186800113064,False
4421,200000.0,case_354,-4.0,case_362,0.0,17.788951365306275,False
4421,200000.0,case_354,-4.0,case_366,2.0,24.920046545710647,False
4421,200000.0,case_354,-4.0,case_370,4.0,30.045344128098805,False
4421,200000.0,case_354,-4.0,case_374,6.0,36.86699806980323,False
4421,200000.0,case_354,-4.0,case_378,8.0,47.324370433037984,False
4421,200000.0,case_354,-4.0,case_382,10.0,58.27146535925567,False
4421,500000.0,case_355,-4.0,case_359,-2.0,57.78685853119532,False
4421,500000.0,case_355,-4.0,case_363,0.0,105.97637248647516,False
4421,500000.0,case_355,-4.0,case_367,2.0,151.03250653897703,False
4421,500000.0,case_355,-4.0,case_371,4.0,183.11237585930212,False
4421,500000.0,case_355,-4.0,case_375,6.0,224.84578087237605,False
4421,500000.0,case_355,-4.0,case_379,8.0,287.89482000448334,False
4421,500000.0,case_355,-4.0,case_383,10.0,353.3759678931965,False
4421,1000000.0,case_356,-4.0,case_360,-2.0,231.99392632269883,False
4421,1000000.0,case_356,-4.0,case_364,0.0,425.14198763463355,False
4421,1000000.0,case_356,-4.0,case_368,2.0,605.9923114960111,False
4421,1000000.0,case_356,-4.0,case_372,4.0,734.3776274528354,False
4421,1000000.0,case_356,-4.0,case_376,6.0,903.021368312824,False
4421,1000000.0,case_356,-4.0,case_380,8.0,1156.4495929699915,False
4421,1000000.0,case_356,-4.0,case_384,10.0,1419.6811377101258,False
