AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
10.0,0.03563416376709938,-2.1697442531585693,0.04467759653925896,-2.4215447902679443,100000.0,0.09999999999999999,case_221,24.2279052734375,98736.0390625,35.90568923950195,99012.9296875,unet,2412,24.196908950805664,101025.3828125,35.878807067871094,101312.9296875
10.0,0.03701619431376457,-2.1722142696380615,0.04649840667843819,-2.337625026702881,200000.0,0.19999999999999998,case_222,22.024778366088867,98735.71875,32.490596771240234,98978.390625,unet,2412,21.994037628173828,101025.078125,32.459320068359375,101278.390625
10.0,0.03839819133281708,-2.178488254547119,0.048135995864868164,-2.3314177989959717,500000.0,0.5,case_223,7.026125431060791,98734.90625,9.224559783935547,98734.4453125,unet,2412,7.023858070373535,101024.3203125,9.209137916564941,101034.4453125
10.0,0.03962443768978119,-2.185351848602295,0.0495261587202549,-2.3383820056915283,1000000.0,1.0,case_224,52.145565032958984,98734.03125,80.34554290771484,97859.3203125,unet,2412,52.286006927490234,101023.546875,80.43446350097656,100159.3203125
-4.0,0.01707100123167038,-0.6787441372871399,0.035239167511463165,-1.133190631866455,100000.0,0.09999999999999999,case_129,3.0512943267822266,98990.859375,4.281082630157471,99019.3515625,pinn,0015,2.9503133296966553,101294.171875,4.208676815032959,101319.3515625
-4.0,0.015454256907105446,-0.7038506269454956,0.03316131979227066,-1.134426474571228,200000.0,0.19999999999999998,case_130,2.5046048164367676,98975.375,4.014428615570068,99002.3828125,pinn,0015,2.54669451713562,101278.5234375,3.979797840118408,101302.3828125
-4.0,0.014861267991364002,-0.7000313401222229,0.03133677691221237,-1.1429922580718994,500000.0,0.5,case_131,3.4462149143218994,98887.15625,6.273636341094971,98882.5546875,pinn,0015,3.469900131225586,101189.7890625,5.979008674621582,101182.5546875
-4.0,0.016974015161395073,-0.5724788904190063,0.03494967892765999,-1.145838737487793,1000000.0,1.0,case_132,6.413046836853027,98779.9609375,17.98186492919922,98453.796875,pinn,0015,6.604804515838623,101084.5078125,18.12519073486328,100753.796875
-2.0,0.01198246143758297,-0.5769513249397278,0.027519891038537025,-0.8261761665344238,100000.0,0.09999999999999999,case_133,2.378919839859009,99002.671875,3.126807689666748,99020.8828125,pinn,0015,2.0770373344421387,101306.0546875,2.9474775791168213,101320.8828125
-2.0,0.011985789984464645,-0.6023649573326111,0.026395218446850777,-0.8269843459129333,200000.0,0.19999999999999998,case_134,1.545175552368164,98991.125,2.4490983486175537,99008.5078125,pinn,0015,1.4682612419128418,101294.5859375,2.323759078979492,101308.5078125
-2.0,0.011902966536581516,-0.6134974956512451,0.024247244000434875,-0.8331705331802368,500000.0,0.5,case_135,2.2149159908294678,98914.1953125,4.130711555480957,98921.1640625,pinn,0015,2.3125555515289307,101217.1171875,4.050601005554199,101221.1640625
-2.0,0.011219135485589504,-0.5267436504364014,0.023539196699857712,-0.8352230191230774,1000000.0,1.0,case_136,5.338554859161377,98779.171875,12.280609130859375,98608.640625,pinn,0015,5.419785499572754,101083.109375,12.151591300964355,100908.640625
0.0,0.011150771751999855,-0.4478614032268524,0.024436842650175095,-0.530697226524353,100000.0,0.09999999999999999,case_137,1.955331802368164,99009.1796875,2.5597968101501465,99022.3515625,pinn,0015,1.6987309455871582,101312.7734375,2.358454704284668,101322.3515625
0.0,0.010618813335895538,-0.444750040769577,0.02259143441915512,-0.5310782194137573,200000.0,0.19999999999999998,case_138,1.3598462343215942,99001.0,1.9121150970458984,99014.4140625,pinn,0015,1.230260968208313,101304.6875,1.7564061880111694,101314.4140625
0.0,0.00950731709599495,-0.45883050560951233,0.019881784915924072,-0.5350000858306885,500000.0,0.5,case_139,2.0708353519439697,98947.7890625,3.045215129852295,98958.328125,pinn,0015,2.046234130859375,101249.6171875,3.0711677074432373,101258.328125
0.0,0.011848644353449345,-0.465318888425827,0.021169118583202362,-0.5363028049468994,1000000.0,1.0,case_140,4.677611351013184,98801.703125,10.137920379638672,98757.65625,pinn,0015,4.560198783874512,101104.5078125,9.885980606079102,101057.65625
2.0,0.010925172828137875,-0.6562643647193909,0.023560548201203346,-0.6768000721931458,100000.0,0.09999999999999999,case_141,1.7413221597671509,99001.859375,2.3504748344421387,99021.625,pinn,0015,1.6583387851715088,101307.1015625,2.247407913208008,101321.625
2.0,0.009858250617980957,-0.650678813457489,0.021414799615740776,-0.685925304889679,200000.0,0.19999999999999998,case_142,1.2562651634216309,98991.078125,1.7273013591766357,99011.3203125,pinn,0015,1.2372764348983765,101295.6640625,1.6631169319152832,101311.3203125
2.0,0.00958167389035225,-0.6187574863433838,0.019545167684555054,-0.6887551546096802,500000.0,0.5,case_143,2.3295035362243652,98942.203125,3.046299934387207,98939.1640625,pinn,0015,2.280017852783203,101244.0390625,2.986949920654297,101239.1640625
2.0,0.013066711835563183,-0.6725282669067383,0.02192525565624237,-0.6897013187408447,1000000.0,1.0,case_144,4.481560230255127,98702.8359375,9.475800514221191,98681.1875,pinn,0015,4.267663955688477,101004.234375,9.2595796585083,100981.1875
4.0,0.009831644594669342,-0.8777976036071777,0.023591432720422745,-0.9815045595169067,100000.0,0.09999999999999999,case_145,1.7623558044433594,98991.421875,2.4373767375946045,99020.109375,pinn,0015,1.8587164878845215,101295.1796875,2.5041754245758057,101320.109375
4.0,0.009184333495795727,-0.866813063621521,0.022009408101439476,-0.9888177514076233,200000.0,0.19999999999999998,case_146,1.3891030550003052,98978.0390625,1.890751838684082,99005.28125,pinn,0015,1.434889316558838,101281.515625,2.0113489627838135,101305.28125
4.0,0.010461919941008091,-0.8092348575592041,0.021505987271666527,-0.9932315349578857,500000.0,0.5,case_147,2.6066043376922607,98903.46875,3.445345640182495,98901.21875,pinn,0015,2.714139461517334,101204.8203125,3.5055108070373535,101201.21875
4.0,0.015657074749469757,-0.9333340525627136,0.024672826752066612,-0.993367075920105,1000000.0,1.0,case_148,4.5598649978637695,98597.53125,9.797379493713379,98529.8046875,pinn,0015,4.548303127288818,100897.609375,9.810420989990234,100829.8046875
6.0,0.0091852443292737,-1.0929713249206543,0.0250557754188776,-1.3091075420379639,100000.0,0.09999999999999999,case_149,1.8043733835220337,98979.2265625,2.6475515365600586,99018.4765625,pinn,0015,1.915195107460022,101281.7265625,2.717432737350464,101318.4765625
6.0,0.009230352006852627,-1.106429934501648,0.02390831895172596,-1.3227027654647827,200000.0,0.19999999999999998,case_150,1.664900541305542,98961.390625,2.2774062156677246,98998.625,pinn,0015,1.7637996673583984,101264.2421875,2.4514527320861816,101298.625
6.0,0.011844499036669731,-1.080693244934082,0.024011459201574326,-1.2974305152893066,500000.0,0.5,case_151,2.574023723602295,98855.703125,3.6156256198883057,98863.3046875,pinn,0015,2.8446905612945557,101156.984375,3.873476982116699,101163.3046875
6.0,0.017397118732333183,-1.2059639692306519,0.027974268421530724,-1.2999804019927979,1000000.0,1.0,case_152,4.772099018096924,98492.8984375,10.896859169006348,98376.9609375,pinn,0015,5.088801860809326,100796.296875,11.215314865112305,100676.9609375
8.0,0.010731032118201256,-1.2824599742889404,0.027643198147416115,-1.833695888519287,100000.0,0.09999999999999999,case_153,2.222696304321289,98966.6640625,3.2046449184417725,99015.859375,pinn,0015,2.0633115768432617,101268.75,3.043574094772339,101315.859375
8.0,0.010941563174128532,-1.3116471767425537,0.026885349303483963,-1.878745198249817,200000.0,0.19999999999999998,case_154,1.8319717645645142,98943.96875,2.7057759761810303,98987.5390625,pinn,0015,1.9158663749694824,101247.328125,2.785609722137451,101287.5390625
8.0,0.012783797457814217,-1.3102456331253052,0.02722475863993168,-1.8576329946517944,500000.0,0.5,case_155,2.4141287803649902,98809.9375,3.702383518218994,98793.4921875,pinn,0015,2.685929298400879,101112.6796875,3.945610761642456,101093.4921875
8.0,0.017648430541157722,-1.3848371505737305,0.030966993421316147,-1.8627210855484009,1000000.0,1.0,case_156,5.13026237487793,98421.3046875,12.746210098266602,98096.4296875,pinn,0015,5.544356822967529,100727.0859375,13.188658714294434,100396.4296875
10.0,0.013467470183968544,-1.392566204071045,0.03412862867116928,-2.478127956390381,100000.0,0.09999999999999999,case_157,3.1901419162750244,98954.8125,4.497293949127197,99012.6484375,pinn,0015,2.861814022064209,101256.9296875,4.1134538650512695,101312.6484375
10.0,0.014466091059148312,-1.429566502571106,0.03426937758922577,-2.5060081481933594,200000.0,0.19999999999999998,case_158,2.3809306621551514,98927.3984375,3.704880714416504,98975.03125,pinn,0015,2.232029676437378,101231.9375,3.594726085662842,101275.03125
10.0,0.01548302173614502,-1.451578974723816,0.03307819366455078,-2.417055606842041,500000.0,0.5,case_159,3.080029249191284,98766.28125,4.824265003204346,98723.7734375,pinn,0015,3.0245954990386963,101072.109375,4.735069274902344,101023.7734375
10.0,0.018427805975079536,-1.4725655317306519,0.035927172750234604,-2.4240314960479736,1000000.0,1.0,case_160,6.057615280151367,98387.1953125,16.17988395690918,97816.6171875,pinn,0015,6.400665760040283,100694.1796875,16.63612174987793,100116.6171875
-4.0,0.014379418455064297,-0.5325325131416321,0.02980935387313366,-1.1636935472488403,100000.0,0.09999999999999999,case_193,2.148465633392334,98999.5546875,3.040860652923584,99019.1953125,pinn,2412,2.0445666313171387,101303.203125,2.9916751384735107,101319.1953125
-4.0,0.014140347018837929,-0.5594907402992249,0.028825193643569946,-1.1727303266525269,200000.0,0.19999999999999998,case_194,1.8875466585159302,98989.5078125,2.824033737182617,99001.6171875,pinn,2412,2.162839889526367,101293.5,3.009765148162842,101301.6171875
-4.0,0.0136865908280015,-0.5586165189743042,0.027968386188149452,-1.1782134771347046,500000.0,0.5,case_195,2.610766649246216,98923.125,4.268684387207031,98878.1640625,pinn,2412,2.8526957035064697,101225.9296875,4.420114040374756,101178.1640625
-4.0,0.014142366126179695,-0.43234968185424805,0.03077847696840763,-1.1471837759017944,1000000.0,1.0,case_196,6.132829189300537,98815.1953125,14.405558586120605,98453.1328125,pinn,2412,5.963296413421631,101116.7421875,14.394580841064453,100753.1328125
-2.0,0.012026880867779255,-0.4084432125091553,0.023276962339878082,-0.7025870680809021,100000.0,0.09999999999999999,case_197,2.3383049964904785,99006.2265625,3.0601980686187744,99021.5,pinn,2412,2.1191744804382324,101309.1484375,2.866334915161133,101321.5
-2.0,0.012835700996220112,-0.41504353284835815,0.02290208451449871,-0.7008787989616394,200000.0,0.19999999999999998,case_198,1.91769540309906,99000.1640625,2.6157336235046387,99011.0234375,pinn,2412,1.9953639507293701,101303.421875,2.6862471103668213,101311.0234375
