AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-2.0,0.004154926284312277,0.00277207131740286,0.020450616255402565,0.01621094,-0.07032896848282019,-0.07477200162845224,-0.1650257110595703,-0.2718376,-8.06947375074697,-16.76877466698415,500000.0,0.5,case_071,unet,0010
-2.0,0.004124252952542858,0.0006697766555049245,0.019456373527646065,0.01520248,-0.0706576769241323,-0.016956517962695646,-0.14086884260177612,-0.2729368,-7.2402414767383005,-17.953439175713434,1000000.0,1.0,case_072,unet,0010
0.0,0.003014527710469467,0.03134517566232654,0.015274368226528168,0.02114043,-0.02142418670301702,-0.6348641970312265,0.02668680250644684,-0.06398505,1.7471624430330166,-3.0266673856681248,100000.0,0.09999999999999999,case_073,unet,0010
0.0,0.002903143485497115,0.00830174752566813,0.015192928723990917,0.01606029,-0.018556280588018448,-0.15006595384545784,0.03272348642349243,-0.05643584,2.1538629594055347,-3.513998813221928,200000.0,0.19999999999999998,case_074,unet,0010
0.0,0.002790400809827793,0.001558615575899808,0.014985071495175362,0.01306245,-0.01914038486784543,-0.019877254159360258,0.050771892070770264,-0.05811671,3.388164820375861,-4.449143154614946,500000.0,0.5,case_075,unet,0010
0.0,0.002753413421042033,0.00048520458617007075,0.014742705971002579,0.01204171,-0.019336817923972134,-0.0032672223039055272,0.08053761720657349,-0.05868048,5.462878888379303,-4.873101909944683,1000000.0,1.0,case_076,unet,0010
2.0,0.003293664076483223,0.08702846104922364,0.015655187889933586,0.0223756,0.030216133437972467,0.5324957829152365,0.22380079329013824,0.1500594,14.295631254227487,6.706385527092012,100000.0,0.09999999999999999,case_077,unet,0010
2.0,0.0032332447614220037,0.021988387874797313,0.015728766098618507,0.01740454,0.032777520728770486,0.14057469642928067,0.22862505912780762,0.1573798,14.535473265629417,9.042456738299316,200000.0,0.19999999999999998,case_078,unet,0010
2.0,0.0031089410562141484,0.003613012939396846,0.01597518101334572,0.01441922,0.03260557009984286,0.026065403627897492,0.24294734001159668,0.1573137,15.20779888557367,10.910000679648414,500000.0,0.5,case_079,unet,0010
2.0,0.003067299835937054,0.0009288384245117582,0.016449756920337677,0.01340249,0.03253960817550054,0.007996976526199245,0.26633650064468384,0.1572861,16.190907983290526,11.735587939256066,1000000.0,1.0,case_080,unet,0010
4.0,0.005422676590154496,0.12707945058908326,0.020908087491989136,0.02793109,0.08124491575932397,1.5573168918313902,0.3799113631248474,0.3603854,18.170545884237818,12.902661514462917,100000.0,0.09999999999999999,case_081,unet,0010
4.0,0.005733795469050507,0.03167656158933198,0.021133530884981155,0.02378334,0.09000965614601053,0.3968071601054419,0.384032666683197,0.3878642,18.17172287836271,16.30823088767179,200000.0,0.19999999999999998,case_082,unet,0010
4.0,0.0052409142859741594,0.005010095160331569,0.021852634847164154,0.02015801,0.08317273092530945,0.06713869354321765,0.39618855714797974,0.3676893,18.130013150308677,18.240357059054936,500000.0,0.5,case_083,unet,0010
4.0,0.005198446616294102,0.001217799866966431,0.023216981440782547,0.0191625,0.08324021442863644,0.018380838514431223,0.4174817204475403,0.3681829,17.98173985332129,19.213719504240053,1000000.0,1.0,case_084,unet,0010
6.0,0.00984721128104184,0.17756939252542042,0.03393958508968353,0.03956011,0.1289430630137503,2.7931372116145474,0.5461914539337158,0.5607863,16.0930504156263,14.175549562425381,100000.0,0.09999999999999999,case_085,unet,0010
6.0,0.009670985742863045,0.04432560901757136,0.03443805128335953,0.03489493,0.12988204532520053,0.7090922104513793,0.5515806674957275,0.5652449,16.01660509060951,16.198482129065745,200000.0,0.19999999999999998,case_086,unet,0010
6.0,0.009894070268245011,0.007060272728007669,0.03597283363342285,0.0334656,0.12853657720194767,0.11873417359855142,0.5683424472808838,0.5581162,15.79921262451866,16.67731043220501,500000.0,0.5,case_087,unet,0010
6.0,0.009849713226052012,0.0017521133334258135,0.0386093445122242,0.03253299,0.12869960262703928,0.03192899079963926,0.5967402458190918,0.5590228,15.455850218595565,17.183259208575667,1000000.0,1.0,case_088,unet,0010
8.0,0.016279002284030376,0.3137243536098853,0.05214153975248337,0.05877719,0.17055858325419715,4.171222317206182,0.741140604019165,0.7331442,14.214014536919509,12.473277473795532,100000.0,0.09999999999999999,case_089,unet,0010
8.0,0.017154377850789878,0.07889880590756795,0.052678853273391724,0.05797538,0.17266183527775988,1.0524231937603,0.7464596033096313,0.7384167,14.170004791783704,12.736728935627504,200000.0,0.19999999999999998,case_090,unet,0010
8.0,0.016738790030533003,0.012863858058904106,0.054332952946424484,0.05423804,0.1673298357643466,0.17302235716755388,0.7623111605644226,0.719806,14.030364985243976,13.271239152447247,500000.0,0.5,case_091,unet,0010
8.0,0.01668435181935997,0.0033304712864442496,0.05729066953063011,0.05338978,0.16751231192573215,0.04521294137633187,0.7879301905632019,0.7208904,13.75320269458432,13.502404392750824,1000000.0,1.0,case_092,unet,0010
10.0,0.02601578093205871,0.599613661215854,0.078999362885952,0.08837473,0.2016465082870875,5.450447569560392,0.8654199838638306,0.8509685,10.954771687376775,9.629093067667647,100000.0,0.09999999999999999,case_093,unet,0010
10.0,0.026783860711051845,0.1510602332544471,0.07991025596857071,0.08723182,0.20344226338874088,1.371523060222633,0.8668686151504517,0.8541543,10.84802701034267,9.791774377744268,200000.0,0.19999999999999998,case_094,unet,0010
10.0,0.026626526570529323,0.02470397869584962,0.08259472250938416,0.08488435,0.2045024394943901,0.22354333560146353,0.8712411522865295,0.8582858,10.548387667112046,10.111237230419977,500000.0,0.5,case_095,unet,0010
10.0,0.026548022628006027,0.006374980925295658,0.086846724152565,0.0843371,0.20416378384642994,0.057408913062055214,0.8788440227508545,0.858899,10.119483853034865,10.184118258749708,1000000.0,1.0,case_096,unet,0010
-4.0,0.014068911890232625,0.39171348719497423,0.024790611118078232,0.03312334,-0.21089621023862962,-5.163247303760897,-0.24825850129127502,-0.4812579,-10.014214660091042,-14.529268485605618,100000.0,0.09999999999999999,case_097,unet,0012
