AoA,Cd,Cl,L_over_D,cache_key,case_id,error,evaluation,m,min_cavitation_margin,objective,p,risky_cell_fraction,start,status,t,wall_seconds
4.0,0.02317617,0.600062,25.89021869365414,144a3e882b7f,start_2412_eval_001_144a3e882b7f,,1,0.02,98886.918491,25.89021869365414,0.4,0.0,2412,ok,0.12,7.1040324159985175
4.0,0.02574747,0.6020344,23.38136596077359,09430d5ed230,start_2412_eval_002_09430d5ed230,,2,0.021,98885.333261,23.38136596077359,0.4,0.0,2412,ok,0.12,7.0358415829978185
4.0,0.0251384,0.5958888,23.703381942289788,5edde118a115,start_2412_eval_003_5edde118a115,,3,0.02,98887.570529,23.703381942289788,0.42000000000000004,0.0,2412,ok,0.12,7.033321250004519
4.0,0.02528855,0.5924925,23.428352817665793,b8261842f92f,start_2412_eval_004_b8261842f92f,,4,0.02,98888.3113,23.428352817665793,0.4,0.0,2412,ok,0.126,7.12770791699586
4.2,0.02399759,0.6206935,25.863748661900555,a596b00d5bd7,start_2412_eval_005_a596b00d5bd7,,5,0.02,98880.397114,25.863748661900555,0.4,0.0,2412,ok,0.12,7.303471790997719
4.1,0.02665848,0.5909311,22.165889957343506,75a6ac21a35f,start_2412_eval_006_75a6ac21a35f,,6,0.019,98882.202681,22.165889957343506,0.41000000000000003,0.0,2412,ok,0.123,7.1772764999986975
4.025,0.02479866,0.6004553,24.21223920005355,c5d62a2f3f9c,start_2412_eval_007_c5d62a2f3f9c,,7,0.0205,98890.961326,24.21223920005355,0.4025,0.0,2412,ok,0.12075,7.206163542003196
4.112500000000001,0.02539215,0.613021,24.141195558644753,ef1618c3466f,start_2412_eval_008_ef1618c3466f,,8,0.02025,98876.447997,24.141195558644753,0.41125,0.0,2412,ok,0.114375,7.244806292001158
4.168749999999999,0.02365046,0.61111,25.838151217726093,35bc359a9c9e,start_2412_eval_009_35bc359a9c9e,,9,0.020375,98886.771932,25.838151217726093,0.38687499999999997,0.0,2412,ok,0.11756250000000001,7.159681042001466
4.084374999999998,0.02577098,0.5991625,23.24860177603739,e0815eb7350e,start_2412_eval_010_e0815eb7350e,,10,0.0201875,98885.162774,23.24860177603739,0.3834375000000001,0.0,2412,ok,0.12478125000000001,7.151912583998637
4.10546875,0.0231379,0.6148903,26.573877755640932,2bc0a3cf2148,start_2412_eval_011_2bc0a3cf2148,,11,0.020234375,98881.577562,26.573877755640932,0.404296875,0.0,2412,ok,0.1169765625,7.205029667005874
4.212109374999999,0.0247159,0.6096083,24.66362286532696,1c90f8e134ab,start_2412_eval_012_1c90f8e134ab,,12,0.019804687500000005,98883.414036,24.66362286532696,0.39308593750000004,0.0,2412,ok,0.11651953125,7.271271500001603
4.165332031249999,0.02439677,0.6098238,24.995063073387442,656ea88cdd53,start_2412_eval_013_656ea88cdd53,,13,0.019978515625000005,98884.621403,24.995063073387442,0.39543945312499995,0.0,2412,ok,0.11757714843750001,7.276007541993749
4.07177734375,0.0231529,0.6099644,26.343916143716605,058f0989fec6,start_2412_eval_014_058f0989fec6,,14,0.020326171875,98883.978338,26.343916143716605,0.4001464843750001,0.0,2412,ok,0.11969238281249998,10.124963209003909
4.019873046875,0.02342849,0.5873727,25.06980305589238,24b264e070ef,start_2412_eval_015_24b264e070ef,,15,0.0199052734375,98885.218606,25.06980305589238,0.41534667968750016,0.0,2412,ok,0.12077197265624998,10.069374082995637
4.13153076171875,0.02387361,0.6066812,25.41114598311763,51a53c4bbc5d,start_2412_eval_016_51a53c4bbc5d,,16,0.020257568359375,98886.804833,25.41114598311763,0.393992919921875,0.0,2412,ok,0.1183648681640625,10.036314042001322
4.088623046875,0.02495869,0.6026072,24.14321652232059,7b98f58bed46,start_2412_eval_017_7b98f58bed46,,17,0.0202802734375,98885.474835,24.14321652232059,0.40222167968750006,0.0,2412,ok,0.11833447265625,10.015304041997297
4.052734375,0.02473758,0.594242,24.02086134289034,b186c99e6749,start_2412_eval_018_b186c99e6749,,18,0.0201171875,98886.972329,24.02086134289034,0.4021484375,0.0,2412,ok,0.11848828125,10.215027833000931
4.152734375,0.02517234,0.6044913,24.013154392702752,f36523fe59c2,start_2412_eval_019_f36523fe59c2,,19,0.0201171875,98883.793893,24.013154392702752,0.4021484375,0.0,2412,ok,0.11848828125,10.228955833001237
4.137109375,0.02431049,0.6124449,25.191582251848814,8c9fd631267f,start_2412_eval_020_8c9fd631267f,,20,0.0203046875,98884.924491,25.191582251848814,0.3955859375,0.0,2412,ok,0.11726953125,10.075157833998674
4.039233398437501,0.02299245,0.6081237,26.44769271248986,f15058c09e13,start_2412_eval_021_f15058c09e13,,21,0.020351074218749994,98884.8218,26.44769271248986,0.39997802734374993,0.0,2412,ok,0.11704614257812501,9.915678249999473
4.13248291015625,0.02311412,0.6196517,26.807202385278554,9da2e65ec158,start_2412_eval_022_9da2e65ec158,,22,0.020468017578124997,98884.085017,26.807202385278554,0.3988928222656249,0.0,2412,ok,0.1163250732421875,9.896853416998056
4.172357177734376,0.02362041,0.6208216,26.28215673831494,07aab6ad6fcc,start_2412_eval_023_07aab6ad6fcc,,23,0.0206434326171875,98883.925497,26.28215673831494,0.39726501464843744,0.0,2412,ok,0.11524346923828122,9.926787749995128
4.118524169921876,0.02335855,0.6127384,26.230745027194445,8fa93e617cde,start_2412_eval_024_8fa93e617cde,,24,0.020398803710937493,98885.492781,26.230745027194445,0.3971551513671873,0.0,2412,ok,0.11547418212890626,10.099683833002928
4.060745239257814,0.02328479,0.6101404,26.202263268714525,ed7526a4d991,start_2412_eval_025_ed7526a4d991,,25,0.02042144775390624,98884.136861,26.202263268714525,0.4045755004882811,0.0,2412,ok,0.11564144897460937,10.188154791998386
